id,name,description,image,tier,created_at,updated_at
1,ATK Up,ATK is increased by 30%,ATK_Up.png,Generic,2020-06-07 11:27:00.358642,2020-06-16 08:45:21.182357
2,HP Up,HP is increased by 30%,HP_Up.png,Generic,2020-06-07 11:27:14.376127,2020-06-16 08:45:35.126156
3,DEF Up,DEF is increased by 35%,DEF_Up.png,Generic,2020-06-07 11:27:28.008435,2020-06-16 08:45:45.571742
4,Crit Resistance Up,Crit Resistance increases by 250,Crit_Resistance_Up.png,Generic,2020-06-07 11:27:43.370823,2020-06-16 08:45:58.721198
5,Monster Hunting,Increases DMG to non-hero Enemies by 10% and takes 10% reduced DMG,Monster_Hunting.png,Generic,2020-06-07 11:28:04.170108,2020-06-16 08:46:12.592921
6,Expirienced Fighter,Increases the dmg targets take by 20%,Expirienced_Fighter.png,Knight,2020-06-07 11:29:18.432561,2020-06-16 08:46:28.93395
7,Excellent Strategy,Increases CC ACC of all allies by 150. If the ally uses the same Perk, only 50 additional CC ACC applies,Excellent_Strategy.png,Knight,2020-06-07 11:29:50.848442,2020-06-16 08:46:41.146817
8,Battle Cry,Increases HP of all allies by 15%. If the ally uses the same Perk, only 5% additional HP applies,Battle_Cry.png,Knight,2020-06-07 11:30:07.327596,2020-06-16 08:46:49.681341
9,Shield of Protection,Block Rate is increased by 200 and CC resistance is increased by 200,Shield_of_Protection.png,Knight,2020-06-07 11:30:20.608149,2020-06-16 08:47:01.887328
10,Swift Move,Increases ATK Spd by 200 and ACC by 400,Swift_Move.png,Knight,2020-06-07 11:30:44.482528,2020-06-16 08:47:13.551024
11,Opportune Strike,Crit Chance is increased by 150 and Crit DMG is increased by 30%. Does not stack,Opportune_Strike.png,Warrior,2020-06-07 11:34:04.36193,2020-06-16 08:48:40.489469
12,Warlike,Per each enemy, ATK is increased 7% and CC Resistance is increased by 30. Can be stacked up to max 10 times,Warlike.png,Warrior,2020-06-07 11:34:23.75055,2020-06-16 08:48:53.580916
13,Offensive Guard,ATK rises equal to half of P.DEF and received P.DMG is decreased by 15%,Offensive_Guard.png,Warrior,2020-06-07 11:35:01.393865,2020-06-16 08:49:03.846037
14,Tactical Foresight,Dodge rate is increased by 200 and takes 10% reduced DMG,Tactical_Foresight.png,Warrior,2020-06-07 11:35:17.441832,2020-06-16 08:49:14.377527
15,Blood Wrath,Increases Lifesteal by 200 and ATK Spd by 200,Blood_Wrath.png,Warrior,2020-06-07 11:35:30.327596,2020-06-16 08:49:23.938665
16,Target Weakness,ATK rises by 20% and DEF Penetration rises by 200,Target_Weakness.png,Assassin,2020-06-07 11:35:48.307244,2020-06-16 08:50:40.037446
17,Swift and Nimble,Per every sec, Dodge rate is increased by 100. This effect can be stacked up to max 5 times, and resets upon dodging an Attack,Swift_and_Nimble.png,Assassin,2020-06-07 11:36:03.972668,2020-06-16 08:50:46.898603
18,Tactical Foresight,Dodge rate is increased by 200 and takes 10% reduced DMG,Tactical_Foresight.png,Assassin,2020-06-07 11:36:19.037538,2020-06-16 08:50:58.928845
19,Opportune Strike,Crit Chance is increased by 150 and Crit DMG is increased by 30%,Opportune_Strike.png,Assassin,2020-06-07 11:36:41.843866,2020-06-16 08:51:08.875392
20,Vital Detection,Upon attack, causes the target to take 10% increased All DMG and have their ATK Spd reduced by 100 for 10 sec. This effect activates once every 3 sec,Vital_Detection.png,Assassin,2020-06-07 11:36:53.643345,2020-06-16 08:51:31.676838
21,Precision Shot,ATK rises by 20% and ACC rises by 400,Precision_Shot.png,Archer,2020-06-07 11:37:12.73838,2020-06-16 08:51:54.168645
22,Eagle Eye,Increases all allies DEF Penetration by 150 and ACC by 75. If the ally uses the same Perk, only 50 additional DEF Penetration and 25 additional ACC apply,Eagle_Eye.png,Archer,2020-06-07 11:37:24.418979,2020-06-16 08:52:04.311621
23,Mortal Wound,Successful Crit Attack reduces enemy recovery rate by 50% and deal Physical continuous DMG every second equal to 20% ATK. Does not stack,Mortal_Wound.png,Archer,2020-06-07 11:37:41.502571,2020-06-16 08:52:17.969289
24,Opportune Strike,Crit Chance is increased by 150 and Crit DMG is increased by 30%,Opportune_Strike.png,Archer,2020-06-07 11:41:05.560693,2020-06-16 08:52:25.520147
25,Concentration,Every 5 sec, increases own Crit DMG by 4%. This effect can be stacked up to max 25 times and is irremovable,Concentration.png,Archer,2020-06-07 11:41:17.796651,2020-06-16 08:52:37.550712
26,Target Weakness,ATK rises by 20% and DEF Penetration rises by 200,Target_Weakness.png,Mechanic,2020-06-07 11:41:39.093107,2020-06-16 08:52:46.534682
27,Ready Cannons,Mana recovery per second rises by 62.5% per every enemy,Ready_Cannons.png,Mechanic,2020-06-07 11:41:54.698973,2020-06-16 08:52:54.897351
28,Pressure Point,Crit chance increases by 400,Pressure_Point.png,Mechanic,2020-06-07 11:42:08.031019,2020-06-16 08:53:04.190284
29,Special Bullet,Attacked target loses 15% of ATK and 150 of Crit. Chance. Does not stack,Special_Bullet.png,Mechanic,2020-06-07 11:42:20.697565,2020-06-16 08:54:09.694581
30,Amplified Gunpowder,Increases Crit DMG of all allies by 30%. If the ally uses the same Perk, only 10% additional Crit DMG is applied,Amplified_Gunpowder.png,Mechanic,2020-06-07 11:42:34.225282,2020-06-16 08:54:53.165758
31,Deception,When receiving DMG, becomes immune to the next 3 hit of DMG. This effect is activated every 40 sec,Deception.png,Wizard,2020-06-07 11:52:09.670729,2020-06-16 08:55:02.11499
32,Moral Rise,Increases ATK of all allies by 15%. If the ally uses the same Perk, only 3% additional ATK applies,Moral_Rise.png,Wizard,2020-06-07 11:52:30.424232,2020-06-16 08:55:11.357094
33,Blessing of Mana,Mana recovery per second rises by 250%,Blessing_of_Mana.png,Wizard,2020-06-07 11:53:05.44302,2020-06-16 08:55:22.335774
34,Circuit Burst,Receives 15% more DMG but gains 40% ATK. ACC is increases by 200,Circuit_Burst.png,Wizard,2020-06-07 11:53:20.615621,2020-06-16 08:55:30.621329
35,Destruction,Increases Crit Chance by 200 and DEF Penetration by 200,Destruction.png,Wizard,2020-06-07 11:53:37.65328,2020-06-16 08:55:38.164827
36,Vengeful Curse,"When hit by an enemy, attacker's DMG is reduced by 70% for 3 sec. This effect only activates once in 40 sec, and cannot be dispelled",Vengeful_Curse.png,Priest,2020-06-07 11:53:58.495904,2020-06-16 08:55:45.160979
37,Goddess Blessing,Increases Crit Chance of all allies by 150. If the ally uses the same Perk, only 50 additional Crit Chance applies,Goddess_Blessing.png,Priest,2020-06-07 11:54:16.469817,2020-06-16 08:55:54.596839
38,Inner Peace,Heal all allies by 1% every sec and increases CC Resist by 75. If the ally uses the same Perk, only 0.3% additional healing per sec and 25 additional CC Resist apply,Inner_Peace.png,Priest,2020-06-07 11:54:28.523476,2020-06-16 08:56:03.244158
39,Blessing of Mana,Mana recovery per second rises by 250%,Blessing_of_Mana.png,Priest,2020-06-07 11:54:40.793177,2020-06-16 08:56:14.802896
40,Swiftness,Increases ATK Spd of all allies by 150. If the ally uses the same Perk, only 50 additional ATK Spd applies,Swiftness.png,Priest,2020-06-07 11:54:56.931741,2020-06-16 08:56:22.679303